participant,audio1,audio2,audio3
6980dfb784202dcf9736910f,word i choose is last,word i choose is tied,i chose to put them in that position because like i think five stars would be excellent and two stars would probably be closer to bad so 4 stars i thought with what was left would either be technical dramatic or good so as a result i think 4 stars being good makes the most sense but because i guess you could you know have a highly critical person say 5 stars is just good or you know not critical person at all say two stars it's bad or two stars is good that's why i had a little room for margin error
69d5c4d748bcaf8026c80573,the word i choose is first,the word i choose is stupid,i chose four star because five star would have been excellent and so 4 star is good
69864a705614c15728117b35,where do i choose is first,the word i choose is tied,
65465c5bc5a014ec683d55cf,the word i choose is first,the word i choose is tied,i chose this because the person speaking said good and looking at the three options there are two stars four stars in five stars and looking at the options of words excellent would be the best word i would think so i would say that that would be five stars and bad would be two stars so good seem like a good midway answer
6a00b4c7593a89490830c18c,the word i choose is first,the word i choose is tight,the reason why i chose fat and put 100 on it is because the question asked which image and there was the there was quite then monsters obese or fat and he's a fat and he did say a bs or monsters
6a15dfdb880253e5b6b917f3,the word i choose is 9th,word i choose is tied,because you said good not great
6a04948f1e40214a25ff2563,the word i choose is first,the word i choose is tied,i put my sliders in that position because both two and three could be considered fat but three can also be considered obese but it but because the word i was given by the recording was fat it could be two or three because both would be considered fat but three would also be considered obese
6a1582166cefcdcbed565058,the word i choose here is first,what a word i choose here is tied,i chose to put the slider in this one because this is the only face that looked angry
69b19e44edf4d70aee145c16,the word i choose is first,the word i choose is tied,i chose to put the sliders in those positions based on what the what the participants said and that it matched the words based on what the participant said
6a14c736578656591db6ea31,the word i chose is first,the word i chose is tied,i'm not really sure what this person considers to be fat ass that's kind of an objective thing versus a word like obese which has a more concrete definition so that's why i came to the sliders like that because i'm not sure how they define that word
6a15d5fb80117206e7200cf7,word i choose is first,word i choose is tied,chose the last one because the first two photos do not look angry the first photo looks neutral the second photo looks happy or just in a better mood and then the third one looks displeased so i figured the third one would be most correct for the angry face or angry
69e599577d00fb31c54fb004,,what do i choose is tied,
699d45af20adaa6e1e89aa5a,word i choose is first,word i choose is tied,she is the only one that looks angry to me so that is why i decided to give that one the full 100
6a0dbb470d44c02c7ec444f0,the word i choose is first,the word i choose is tied,some of them had a responses that could go between the two of the selections however i tried to choose the one that was probably most at but they're still was a little bit of doubt left that i usually had a little bit more for the other option
697a495862ac67423e8418b8,the word i choose is randomized,the word i choose is tied,
69b3193cce0978ad6db9fe7c,where did i choose is first,word i choose is tied,decided to put the slider at 100% for the four stars because excellent would have been five stars and bad would have been two stars and it's not those two
6a0b7296246f70341f078e55,where did i choose is first,the word i choose is tied,looking at the words i see thin which probably correlates to one fat which correlates to two and obese which would correlate to 3
6a0e0a9490e868c044e21936,the word i choose is first,the word i choose is tied,in the box with the four stars because frank said i think his name is frank frank said that the word he chose was good and since there are options of bad good in excellent i used the middle option
6a0f1056788a67850f057de4,the word i choose is first,the word i choose is tied,because good is 4 stars excellent s5
69fd3605435216c2d93bc72f,the word i choose is first,the word i choose is tied,i chose the positions but i did because i feel like if they were describe the biggest person they would have chose monstrous or maybe obese and if it were the first person they would have chose quint or thin however because monstrous and obese are extreme sides of the scale and they didn't say either of those i assume that it was the middle one and not the thing or quaint one
665795d82a087799023aaf0e,the word i choose is first,where do i choose as tide,i felt that the pictures and the words that they spoke a the picture i chose represented the word that they spoke
