Unnamed: 0,participant,audio1,audio2,audio3,participantId,derivationStrengthNative,derivationStrengthNonNative
1,69dfe696c433039b7add8013,word i choose is first,word i choose is tied,"reason i chose to put them in those positions is because out of the options that the person was given, to choose fat rather than obese would imply that it is the middle person as thin was also an option",69dfe696c433039b7add8013,81.5,59.625
2,6a07687bad5809e8867bdffb,the word i choose is first,the word i chooses tied,because this person is not obese and they are not skinny that's why i choose two,6a07687bad5809e8867bdffb,84.875,62.5
3,69dbf4749918745fc7d8e820,the word i choose is first,the word i choose is tied,i chose to put the slider in the second position with the four stars because five stars to me would equal excellence while four would equal good,69dbf4749918745fc7d8e820,47.5,36.25
7,6a199661a2f63c5bf9835b2e,the word i choose is first,the word i choose is tied,initially i would look at the pictures and see what i would think of these images so for example with a two-star 4 star 5 star bad good great and then i would look at what words were available and then i'd have to go to the closest that i would think and then look to see if there was any basically loss of what one would not be able to be used and then go from there so if there was an for 245 it would be like oh if there was a good it would be 4 star if it was great it would be five star but if there was nothing bad i would have to think about what i would actually use instead,6a199661a2f63c5bf9835b2e,74.75,68
8,6a05131f0ad03d07dd77178e,the word i choose is first,the word i choose is tied,there's a small chance that you would say good for 5 stars i would think that most people would say excellent given the choice for five stars but there's a small chance i think there's no chance that anybody would say good for two stars but most likely they would say it for 4 stars so that's why i chose the way I did,6a05131f0ad03d07dd77178e,68.5,50.5
11,69c1256faa88d6296c98d745,word i chooses first,tied,i used a process of elimination to determine which ones made the most sense basically i looked at all three and and all of the words and seeing which one fits better and if i'm sorry to assume if their english isn't their native tongue i was a little bit more careful sometimes and i just used more odds on what it likely is but a little bit what they may be more familiar with,69c1256faa88d6296c98d745,87.5,79.125
14,69dc76f0a77a620367d666ec,i choose is first,should i choose is tied,"I guess I kinda thought that if it was the two star one she?함d say bad, if it was 5 star she?함d say excellent, so it had to be good",69dc76f0a77a620367d666ec,76.75,60.75
19,69b5c6bdbcf55371066f5e73,first,tied,"they match the most, looking at the choices comparing to the other words it seemed like the best fit in match",69b5c6bdbcf55371066f5e73,87.5,55.5
20,6a00b0ca46e3f2822d0349b6,word i choose is first,the word i choose is tied,"the third picture is the only one that looks angry to me, the first looks calm, the second looks happy or crazed, the last is angry",6a00b0ca46e3f2822d0349b6,84.875,70.875
21,676956116c1a3416bf7b2afe,i choose is first,the word i choose is tied,i decided to put my slider in that position because it's the only case that looks angry,676956116c1a3416bf7b2afe,100,75
24,6a1b544246f12219f033d3c3,word i choose is first,the word i choose is tied,"well there?함s three choices or two choices it could be ?혀 excellent or good. excellent would be 5 stars in my head, good would be 4 out of 5 stars or 80%. that?함s why I chose that one I guess two for bad.",6a1b544246f12219f033d3c3,87.5,52.25
27,69fce9e45d612732dd1ae4e2,the word i chose is first,the word i chose is tied,I decided to put those sliders in those positions because they seemed like the best word to describe the images I saw. There were a few that I couldn?함t tell but for the most part the words they used excluded the other images so I mostly used process of elimination to get to the conclusion I did,69fce9e45d612732dd1ae4e2,20.5,12.375
29,6a18b37c0157d881234ed29f,first,tied,~~~~~~~~ ERROR ~~~~~,6a18b37c0157d881234ed29f,49,35.75
30,6a1cb95bf369926ac77ea9e5,the word i choose is first,the word i choose is tied,i chose the one in the centre for the word fat because in the five choices of the words there's one that's monstrous which would be the bottom largest cartoon character of this man and then would be the top so it has to be fat which would be in the middle,6a1cb95bf369926ac77ea9e5,100,62.5
