target,competitor,distractor,message,messages,block,pragmatic_interpretation,type,targetIsPragmatic,UniqueId,ItemId
ci_gr,ci_re,sq_bl,ci,"tr,ci,bl,re",s_0,ci_gr,critical,TRUE,1,1
ci_bl,ci_gr,tr_re,ci,"tr,ci,bl,re",s_0,ci_gr,critical,FALSE,2,2
tr_gr,ci_gr,sq_bl,gr,"tr,sq,bl,gr",s_0,ci_gr,critical,FALSE,3,3
ci_gr,ci_re,sq_bl,ci,"ci,sq,bl,gr",s_0,ci_re,critical,FALSE,4,4
sq_bl,tr_bl,ci_gr,bl,"tr,ci,bl,re",s_0,sq_bl,critical,TRUE,5,5
sq_gr,tr_gr,ci_bl,gr,"tr,ci,bl,gr",s_0,sq_gr,critical,TRUE,6,6
sq_gr,sq_bl,tr_re,sq,"tr,sq,bl,re",s_0,sq_gr,critical,TRUE,7,7
ci_re,sq_re,tr_bl,re,"tr,ci,re,gr",s_0,sq_re,critical,FALSE,8,8
sq_bl,sq_re,tr_gr,sq,"ci,sq,bl,gr",s_0,sq_re,critical,FALSE,9,9
tr_bl,sq_bl,ci_re,bl,"ci,sq,bl,gr",s_0,tr_bl,critical,TRUE,10,10
ci_bl,tr_bl,sq_gr,bl,"ci,sq,bl,gr",s_0,tr_bl,critical,FALSE,11,11
tr_bl,tr_gr,sq_re,tr,"tr,sq,re,gr",s_0,tr_bl,critical,TRUE,12,12
tr_gr,tr_bl,ci_re,tr,"tr,ci,bl,re",s_0,tr_gr,critical,TRUE,13,13
tr_re,tr_gr,sq_bl,tr,"tr,ci,re,bl",s_0,tr_gr,critical,FALSE,14,14
tr_re,ci_re,sq_bl,re,"ci,sq,bl,re",s_0,tr_re,critical,TRUE,15,15
tr_bl,tr_re,sq_gr,tr,"tr,sq,bl,gr",s_0,tr_re,critical,FALSE,16,16
tr_gr,sq_gr,ci_re,gr,"ci,sq,re,gr",s_0,tr_gr,critical,TRUE,17,17
ci_gr,sq_gr,tr_bl,gr,"tr,sq,bl,gr",s_0,ci_gr,critical,TRUE,18,18
ci_re,tr_re,sq_gr,re,"tr,sq,re,gr",s_0,ci_re,critical,TRUE,19,19
ci_re,sq_re,tr_bl,re,"tr,sq,bl,re",s_0,ci_re,critical,TRUE,20,20
sq_bl,ci_bl,tr_re,bl,"tr,ci,bl,gr",s_0,sq_bl,critical,TRUE,21,21
sq_bl,sq_gr,tr_re,sq,"tr,sq,re,gr",s_0,sq_bl,critical,TRUE,22,22
ci_bl,ci_re,tr_gr,ci,"tr,ci,re,gr",s_0,ci_bl,critical,TRUE,23,23
sq_bl,sq_re,ci_gr,sq,"ci,sq,re,gr",s_0,sq_bl,critical,TRUE,24,24
sq_bl,tr_bl,ci_re,sq,"ci,sq,bl,re",s_0,sq_bl,filler_a,TRUE,25,25
tr_bl,sq_bl,ci_gr,tr,"tr,ci,bl,gr",s_0,tr_bl,filler_a,TRUE,26,26
tr_gr,tr_re,sq_bl,gr,"tr,sq,bl,gr",s_0,tr_gr,filler_a,TRUE,27,27
ci_re,tr_bl,tr_gr,re,"tr,ci,re,gr",s_0,ci_re,filler_b,TRUE,28,28
sq_bl,tr_gr,ci_gr,bl,"tr,ci,bl,gr",s_0,sq_bl,filler_b,TRUE,29,29
ci_re,tr_bl,sq_gr,ci,"ci,sq,bl,gr",s_0,ci_re,unambiguous,TRUE,30,30
sq_gr,ci_bl,tr_re,gr,"sq,ci,re,gr",s_0,sq_gr,unambiguous,TRUE,31,31
sq_re,tr_gr,ci_bl,sq,"ci,sq,bl,gr",s_0,sq_re,unambiguous,TRUE,32,32
ci_gr,ci_re,sq_bl,ci,"tr,ci,bl,re",s_1,ci_gr,critical,TRUE,33,1
ci_gr,ci_bl,tr_re,ci,"tr,ci,bl,re",s_1,ci_gr,critical,TRUE,34,2
ci_gr,tr_gr,sq_bl,gr,"tr,sq,bl,gr",s_1,ci_gr,critical,TRUE,35,3
ci_re,ci_gr,sq_bl,ci,"ci,sq,bl,gr",s_1,ci_re,critical,TRUE,36,4
sq_bl,tr_bl,ci_gr,bl,"tr,ci,bl,re",s_1,sq_bl,critical,TRUE,37,5
sq_gr,tr_gr,ci_bl,gr,"tr,ci,bl,gr",s_1,sq_gr,critical,TRUE,38,6
sq_gr,sq_bl,tr_re,sq,"tr,sq,bl,re",s_1,sq_gr,critical,TRUE,39,7
sq_re,ci_re,tr_bl,re,"tr,ci,re,gr",s_1,sq_re,critical,TRUE,40,8
sq_re,sq_bl,tr_gr,sq,"ci,sq,bl,gr",s_1,sq_re,critical,TRUE,41,9
tr_bl,sq_bl,ci_re,bl,"ci,sq,bl,gr",s_1,tr_bl,critical,TRUE,42,10
tr_bl,ci_bl,sq_gr,bl,"ci,sq,bl,gr",s_1,tr_bl,critical,TRUE,43,11
tr_bl,tr_gr,sq_re,tr,"tr,sq,re,gr",s_1,tr_bl,critical,TRUE,44,12
tr_gr,tr_bl,ci_re,tr,"tr,ci,bl,re",s_1,tr_gr,critical,TRUE,45,13
tr_gr,tr_re,sq_bl,tr,"tr,ci,re,bl",s_1,tr_gr,critical,TRUE,46,14
tr_re,ci_re,sq_bl,re,"ci,sq,bl,re",s_1,tr_re,critical,TRUE,47,15
tr_re,tr_bl,sq_gr,tr,"tr,sq,bl,gr",s_1,tr_re,critical,TRUE,48,16
tr_gr,sq_gr,ci_re,gr,"ci,sq,re,gr",s_1,tr_gr,critical,TRUE,49,17
ci_gr,sq_gr,tr_bl,gr,"tr,sq,bl,gr",s_1,ci_gr,critical,TRUE,50,18
sq_bl,ci_bl,tr_re,bl,"tr,ci,bl,gr",s_1,sq_bl,critical,TRUE,51,19
ci_re,sq_re,tr_bl,re,"tr,sq,bl,re",s_1,ci_re,critical,TRUE,52,20
ci_re,tr_re,sq_gr,re,"tr,sq,re,gr",s_1,ci_re,critical,TRUE,53,21
sq_bl,sq_gr,tr_re,sq,"tr,sq,re,gr",s_1,sq_bl,critical,TRUE,54,22
ci_bl,ci_re,tr_gr,ci,"tr,ci,re,gr",s_1,ci_bl,critical,TRUE,55,23
sq_bl,sq_re,ci_gr,sq,"ci,sq,re,gr",s_1,sq_bl,critical,TRUE,56,24
sq_bl,tr_bl,ci_re,sq,"ci,sq,bl,re",s_1,sq_bl,filler_a,TRUE,57,25
tr_bl,sq_bl,ci_gr,tr,"tr,ci,bl,gr",s_1,tr_bl,filler_a,TRUE,58,26
tr_gr,tr_re,sq_bl,gr,"tr,sq,bl,gr",s_1,tr_gr,filler_a,TRUE,59,27
ci_re,tr_bl,tr_gr,re,"tr,ci,re,gr",s_1,ci_re,filler_b,TRUE,60,28
sq_bl,tr_gr,ci_gr,bl,"tr,ci,bl,gr",s_1,sq_bl,filler_b,TRUE,61,29
ci_re,tr_bl,sq_gr,ci,"ci,sq,bl,gr",s_1,ci_re,unambiguous,TRUE,62,30
sq_gr,ci_bl,tr_re,gr,"sq,ci,re,gr",s_1,sq_gr,unambiguous,TRUE,63,31
sq_re,tr_gr,ci_bl,sq,"ci,sq,bl,gr",s_1,sq_re,unambiguous,TRUE,64,32
